"title","genres","tmdb_id","overview","release_year"
"Pippi's Christmas","Family",1098501,"Pippi prepares for Christmas. She bakes a huge number of gingerbread biscuits. In the big tree outside her house she has hung lots of Christmas presents. At Christmas Eve she sits at her window, looking out in the darkness at all the presents hanging in the tree. She feels lonely and thinks with sadness about having no one to give the presents to.","1969"
"The Bach Christmas Oratorio BWV 248, Cantata 1 to 3","",1117671,"The Bach Christmas Oratorio BWV 248, Cantata 1 to 3","2022"
"Goto Maki 2006 Summer FC Tour in Hawaii ~Tokonatsu Christmas wo Anata he~","",724988,"Concert held in Hawaii.","2006"
"Morning Musume.'21 FC Event ~Musume. × FAN×Fun! × Christmas~","",1007001,"FC Event held at Nippon Seinen-kan Hall. Disc.1 (80mins), Disc.2 (47mins).","2021"
"Morning Musume.'20 FC Event ~Premoni. Christmas Kai~","",1007003,"FC Event held at Kawaguchi Cultural Center.","2020"
"Tatsuro Yamashita - Christmas Eve 30th Anniversary Short Movie","Romance",1005260,"A short Christmas Eve love story which came with the special 30th Anniversary Edition of Tatsuro Yamashita's ""Christmas Eve"" album.","2013"
"Ortona 1943: A Bloody Christmas","Documentary, War",428196,"It was one of the bloodiest and most mysterious battles of the Second World War in Italy. In Ortona, a small seaside town in the Abruzzo region, Germans and Canadians literally fought street by street, house by house, even room by room. Why did everyone want to conquer Ortona in December 1943? What was so important about it? Why was it forgotten so quickly afterwards? And what secret does Ortona hide until this day? Amazing library footage, never before heard eyewitness accounts, documents that have remained secret until now, recently found German photographs and moving re-enactments help us to relive not only the political and military climate of the time, but take us back to the narrow alleys of the time, standing side-by-side with the soldiers to discover the embarrassing truth that has remained hidden for over half a century.","2008"
"Christmas Song","TV Movie, Family",716406,"""Bozicna pesma"" is made on the basis of Christmas Poems written by Jovan Jovanovic Zmaj.","1995"
"Christmas Tree","Animation",726681,"Another of Hermína Týrlová's ""wool fairy tales"" tells about two children who decorated a Christmas tree.","1968"
"Morning Musume.'17 Christmas FC Event ~Play Moni. 2~","",711872,"Variety of events at Differ Ariake, Morning Musume. has; talks, charades, musical chairs, and a mini-live. Also; perfect-match, sexy-phrase-panic, charades-message, old objects, acchi muite hoi, & 2 songs. Disc 1 (75mins), Disc 2 (67mins).","2017"
"Morning Musume.'18 FC Event ~Play Moni. Christmas Kai~","",711875,"At Tokyo's Nittele Lang Lang Hall they play newscaster and Member opinion poll game, and includes a Mini Live. Also; they play ikemen, Member opinion poll, & cute Eripon game, and also a Mini Live. Disc 1 (71mins), Disc 2 (83mins).","2018"
"Cicada Crowing Christmas","Comedy, Drama",849602,"A group of four girlfriends stash a letter in a time capsule when they were 15 years old. In ten years they would see each other again at Christmas and open the capsule again. But things turn out differently when one of the four falls seriously ill.","2021"
"Christmas Stars","Animation",712409,"Christmas Song.  (40 Seg. )","1998"
"A Christmas Fairy Tale","Family, Music, Fantasy",1132163,"A musical Christmas story, told by little five-year-old girl and her fellows. This magnificent musical film is based on old Russian Christmas fairy tales, nativity scenes and authentic melodies that have accompanied this holiday for many centuries.","1993"
"Morning Musume.'16 × ANGERME FC Event ""Gachi☆Kira Christmas Sen"" - Christmas Battle FINALE","",714190,"The Finale contains Ranking Announcement, and ""Morning Musume.'16"" and ""ANGERME"" Battle in the final game; ""Acchi Muite Hoi"". Follow by a Special Holiday Performance.","2016"
"The Tale of the Christmas Tree","Animation, Family",572606,"New Year's adventure of a little Christmas tree girl.","2011"
"Merry Christmas Octopus","Comedy, Family, Science Fiction",573085,"Eva and her younger brother Johnny own two sentient octopuses made out of strange matter. Will their parents divorce and ruin Christmas? Will a scientist find a way to use their pets as fuel? Live action film with stop-motion octopuses.","1987"
"The Story of Christmas","Family",427865,"The Augsburger Puppenkiste brings the biblical story of Christmas onto the big screen. On time for Christmas, the tale of  Maria, Joseph and Baby Jesus is told in all of Germany.","2016"
"When Mother Comes Home for Christmas","Documentary",574703,"Josephine works as a babysitter in Athens. She returns to Sri Lanka one Christmas to meet her children after an absence of 10 years.","1996"
"The Legend of the Christmas Tree","",590400,"A stop-motion animated film about the creation of the Christmas tree animated by children from 5 to 13 years of age.",""
"A Christmas Carol","",878754,"","1989"
"Bo Bear Celebrates Christmas","Family",750484,"When Johannes does not find any traces of Santa in the Santa workshop, he becomes worried that it may not be a proper Christmas this year. Johannes can not risk it, so he and Brillebjørn do everything they can for Santa to visit them on Christmas Eve.","2020"
"Merry Christmas, Svensson Svensson","Comedy, Family",1031394,"Father Gustav, mother Lena and children Lina and Max celebrate everything but a peaceful Christmas. A really merry Christmas with the Svensson family.","1994"
"The Elf Who Stole Christmas","Animation",326437,"In a beautiful village in the Pyrenees, little Anje fulfills his dream of becoming the assistant of Christmas Basque figure, Olentzero. Olentzero warns Anje not to touch a little wooden jail that imprisons Iratxo, a wicked elf.","2011"
"Christmas mystery","",744180,"Christmas mystery","1969"
"Christmas Wonderland","",599638,"",""
"Christmas Goat","",432040,"A Christmas story. The goat is the solution to the problems of a family in Recife, Brazil.",""
"Morning Musume.'19 FC Event ~Play Moni Christmas Kai~","",732209,"Event at TFT Hall 1000, featuring member events; 2019 last claim, real senior eval grand prix, and 2019 last gachi. Also includes mini Live. Disc 1 (77mins), Disc 2 (91mins).","2019"
"White Christmas","Drama",728855,"City park – an ideal place to relax.","2020"
"Komaneko's Christmas: The Lost Present","Animation, Family",84507,"A short film featuring Komaneko the curious cat during the days leading up to Christmas Eve when her parents are scheduled to return home.","2009"
"Kotatsu-shita no Christmas","Animation",863648,"Winter in Japan means kotatsu and mandarin oranges. Tarafu Otani used these two things to represent the birthday of Christ.","2008"
"Christmas Wrapping Paper","Adventure, Animation",312119,"Dodu, a fearless little cardboard boy, Camilla, an enchanting 8-year-old girl and Santa, a Father Christmas for every day, rescue Camilla’s father from the claws of the Waste Monster. As part of their adventure they recycle the wrapping paper from the Christmas presents and are able to breathe in pure air with all Sky-Forests ad Earth-Forests.","2014"
"The President's Christmas Tree","Romance, Drama",586675,"","1996"
"Why Does The Christmas Tree Have Prickly Needles","Animation",439702,"This story will shed light on the fact why a firtree does not have usual leaves but the number of needles. It is because the nature had to protect the tree from invasions of a cunning villain. This helped the tree to defeat the mercenary invader but changed the appearance of the forest beauty forever.","1973"
"Christmas with Elisabeth","Drama, Romance",325711,"Surly solitary truck driver is given an assistant for his daily rounds: a young woman with a fondness for mini-skirts and boys, fresh out of prison.","1968"
"Christmas Eve","",448100,"It's not easy to introduce your fiancé to your mother. Especially when mom is trans and your fiancé a biological woman!","2013"
"A Christmas Carol","Drama, Fantasy",742832,"A Christmas Carol","1947"
"Angelos At Christmas","",872602,"It is Christmas Eve. Angelos, a mysterious 50-year-old man, observes a young boy singing the carols in the streets of Athens. He convinces the child to go with him in his car towards an unknown destination.","2021"
"The Christmas Visit","Animation, Adventure, Family",743167,"Santa Claus lends his sparkling sleigh-like Star Shooter to let a child in order to deliver a Christmas tree to his father in Antarctica.","1959"
"Going Crazy on Christmas","",898676,"A short about Christmas that tells that Santa Claus is on vacation at Christmas and won't deliver presents","2021"
"The Christmas Ballad","Animation, Fantasy",615686,"In a city destroyed by war, a boy collects broken toys to replace his friends and family. One day he finds a Christmas gift and runs away. Based on the last script by Bretislav Pojar.","2016"
"Morning Musume.'22 FC Event ~Musume.×FAN×Fun!×Christmas~","",1173671,"Christmas fanclub event held at Chiba Prefectural Cultural Hall. Disc 1 (77mins), Disc 2 (46mins).","2022"
"Why is it so Warm on Christmas?","",894107,"Movie star Eugene gains superpowers and sets out to become a superhero. On his own, and even without a tragic backstory, needing help to equip himself in this new role, he seeks out and befriends fellow nerds online. They end up becoming a community rather than a vigilante type hero. And then they kick some ass.","2021"
"Merry Christmas","",749722,"","1986"
"Home for Christmas","",345220,"On Christmas Eve while her mother obsesses about stuffing the turkey, Annie tells her family she is a lesbian.","2000"
"Christmas in the Distance","Documentary",480162,"The director documents the events leading to a reunion with her estranged father.","1994"
"Three days 'till Christmas","Documentary, Drama, History",173148,"Historical Docudrama, which describes accurately - based on evidence, documents, reconstructions and archive footage - the last days of life spouses Nicolae and Elena Ceausescu. Main performers, Victoria Cocias (Elena Ceausescu) and Constantin Cojocaru (Nicolae Ceausescu).","2012"
"Scruff: A Christmas Tale","Animation, Family",167525,"It's Christmas, Eve and Scruff have some dishes that are not shared with anyone. But after meeting the ghosts of Christmas past, present and future, understand the true meaning of the holiday, friendship and charity.","2006"
"Magical Snow at Christmas","Fantasy, Comedy, Romance",1052923,"A Galician Magical Girl fights fascism at Christmas.","2022"
"The Nylon Christmas Tree","Comedy, Drama",1024181,"A group of people who happen to be on the same bus try to get home on the New Year's Eve, but their bus is delayed by numerous obstacles, and the tensions grow.","1985"
"Christmas Fantasy","Animation",520079,"Winter fantasy based on Stravinsky's ballet ""Petrushka"".","1993"
"Christmas Day","Comedy, Family",1161459,"The comical short film ""Christmas Day"" tells the story of a strong bond between Pia and her grandfather. The story takes place within the familiar Christmas hustle and bustle, complete with stressful gift wrapping, ear-piercing children's squeals, and a traditionally comical family Christmas dinner.  Amidst all the chaos, Pia finds herself in a moment of a different reality, through which she manages to regain her Christmas joy and gets a reminder of how much we need our family's warmth and acceptance in good and bad times.","2023"
"The Christmas of the Ugly Duckling","",150719,"Based on the successful series of Neptuno Films. Winter has arrived at last on the farm where the Ugly Duckling lives, and everybody is getting ready to celebrate Christmas. The Ugly Duckling and his friend Nico the Piglet set out on a fantastic journey, accompanied by a snowman, who needs their help to find the Magic Mountain: that´s where all good snowman meet up, to become stars twinkling in the sky. But this is only one of the enchanting stories that make up the Ugly Duckling´s Christmas Adventure.","2004"
"White Christmas 1948","War",1175966,"In December 1948, an unofficial truce between the Democratic Army and the National Army enables the soldiers to share a human, touching moment before returning to the barbarous reality of the eternally divided Greeks.","2023"
"Little Timo's Christmas Tree","Animation, Family",143303,"The young boy sends away his little dog out of his house on the New Year's Eve. The dog gets lost in the woods during the snowstorm, but New Year's miracle happens when Santa, The Snowman, The Scarecrow and a bunch of toys help out.","1966"
"Christmas","Animation, Family",142130,"The film is about the birth of the Child.","1997"
"31 Minutos: Christmas Special","Comedy, Family",1012785,"At the show's studio, everyone was ready and willing to spend Christmas—the happiest day of the year—at home, but Sr. Manguera informs them that, by contract, the 31 minutos crew is obligated to put on a show. special, so they have to put one together in record time. Bodoque is in charge of looking for the gifts at Rosario Central, but he succumbs to Tío Pelado's temptation to bet them on the horse races.","2003"
"The Christmas of the Tramp","Drama",985806,"One New Year's Eve, a miserable tramp, after being violently snubbed by a party, follows the evil inclination of his spirit in revolt against the lucky ones who do not care about his distress. The tramp breaks into a pavilion he thinks is abandoned, until a small child appears.","1911"
"365 Days of Christmas","",1071028,"She is a nameless woman with a radiant presence, full of passion and joy. He is an elusive young man, with a strong and demanding personality, who goes by the name of Alexander - could it be the eponymous Alexander the Great? They are mysterious, they are beautiful, and they represent the Divine and the human essence that merge together at Christmas time. But this Christmas eve, they will tell us their secrets...","1991"
"Transport of the U.T. Visitors' Christmas Warrior Donations","",825744,"A short showing the packing and (fictionalized) delivery of Christmas presents to soldiers on the German front.","1914"
"Transport of the U.T. Visitors' Christmas Warrior Donations","",825744,"A short showing the packing and (fictionalized) delivery of Christmas presents to soldiers on the German front.","1914"
"Miriam's Christmas Gnome","Animation",1113581,"A Christmas gnome visits Miriam.","2003"
"On Christmas Eve","Romance, TV Movie",1009746,"This old-fashioned drama tells about how Christmas Day fatefully affected the life of a bachelor from Novi Sad. With the help of his servant, this former scoundrel, gambler and loner transforms into a man who knows how to help another, and fall in love.","2005"
"Rusty the Knight - A perfect Christmas","Animation",154383,"Rusty the Knight prepares a perfect Christmas for the king.","2003"
"Behind The Star of Christmas","Animation",793850,"A Christmas story about a modern family, where the eternal miracle of love interferes with the loneliness of a teenager, uniting all relatives in the secret of the holiday.","2020"
"Is it Christmas?","Drama",1209444,"After New Year's eve celebrations, a family's Christmas tree is carefully stored in the pantry, awaiting the next holiday season. When the long-awaited moment finally arrives, it is replaced by a larger and more modern Christmas tree. Thrown in the trash, the tree is found by an elderly lady and makes another home's Christmas less lonely.",""
"Christmas Takes Flight","TV Movie, Comedy, Romance",890787,"The movie tells the story of a handsome but frugal CEO who takes over a family-owned regional airline and plans to cut their annual Christmas charity event, while the original owner’s daughter, who is a pilot for the airline, rallies the community to save the event, and finds unexpected love in the process.","2021"
"Christmas Icetastrophe","Drama, Science Fiction, TV Movie",301816,"This Christmas, a super frozen object is going to slam into the Earth. In the middle of a small town, and very quickly, dreams of a ""White Christmas"" will turn into a FROZEN NIGHTMARE.","2014"
"Christmas in July","Comedy, Romance",34778,"An office clerk loves entering contests in the hopes of someday winning a fortune and marrying the girl he loves. His latest attempt is the Maxford House Coffee Slogan Contest. As a joke, some of his co-workers put together a fake telegram which says that he won the $25,000 grand prize.","1940"
"'Twas the Night Before Christmas","TV Movie, Comedy, Drama, Romance",1028547,"A former actress trying to break into directing tests her skills with a town’s annual Christmas Eve courtroom production in which the true authorship of the famous poem “A Visit from St. Nick” is debated.","2022"
"CBS Presents: A New York Christmas to Remember at St. Paul the Apostle","",784004,"Christmas Eve broadcast of lessons and carols at the landmark city church, featuring the puppetry of the late Jane Henson's ""Nativity Story"" accompanied by the biblical narration of Regis Philbin and musical performances by three choirs.","2013"
"Best Christmas Ball Ever!","Comedy, Romance, TV Movie",651602,"After a surprising breakup at home in Chicago, Amy decides that a change of scenery will do her well and impulsively decides to spend the holidays with her brother in Vienna. After taking ballroom dancing lessons with her dashing European dance partner, Lukas, Amy scores an invitation to dance competitively in the city’s biggest holiday ball, and also another shot at love.","2019"
"Elf: Buddy's Musical Christmas","Animation, Family, Fantasy, TV Movie",312100,"Santa narrates the story of Buddy's travels to New York City to meet the father he never knew he had. Along the way his unrelenting cheer transforms the lives of everyone he meets and opens his father's eyes to the magic of Christmas.","2014"
"Snowed In for Christmas","TV Movie, Comedy, Romance, Family",838184,"Kaley, a young Au Pair, finds herself unable to return home for the holidays when a snowstorm derails her plans. In spite of her own disappointment she is determined to teach the girls she watches, alongside their charming Uncle, the magic of Christmas. Will this series of events lead to a perfect Christmas?","2021"
"A Very Brady Christmas","Drama, Family, TV Movie, Comedy",49358,"Almost 20 years after the start of the original ""Brady Bunch"" the kids are grown up and have kids of their own. Everyone is having a wonderful time back at the family house for Christmas, until Mike learns of a structural problem in one of the buildings he designed. As he is inspecting the problem, the building collapses, trapping him inside. As the whole family waits by the pile of rubble, they fear the worst. Will Dad be all right?","1988"
"The Christmas Contest","TV Movie, Romance, Drama, Comedy",874144,"Exes Lara and Ben compete in a Christmas contest to win money for the charity of their choosing. The city watches them battle and choose what is more important, victory or love.","2021"
"Christmas List","Comedy, Romance, TV Movie",416251,"Isobel Gray plans a storybook Christmas with her boyfriend, including a snow-covered cottage in the Northwest, and a carefully composed bucket list of classic holiday traditions. But when the boyfriend goes AWOL, the list proves challenging and a tempting new romance turns her life upside down. Will Isobel have a White Christmas ending under the mistletoe?","2016"
"Last Train to Christmas","Fantasy, Drama, Comedy",887609,"When successful 80s nightclub manager Tony Towers boards a magical train at Christmas, he discovers that each carriage harbours a different stage of his life and the actions he takes in one carriage directly affect his life in the next. Can Tony change his life – and the lives of the people he loves – for the better, or will he just make things worse?","2021"
"The Christmas Candle","Drama, Family",226354,"Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end.","2013"
"A Snow White Christmas","Drama, Romance, TV Movie",565918,"When Blanca Snow is faced with spending Christmas with her dastardly stepmother, Victoria, she attempts to fulfill her late father’s wishes and create new memories as a family. However, Victoria plots to edge Blanca out of her father's inheritance and keep the money and his mansion, for herself. Victoria has Blanca hypnotized, so she will forget everyone and everything about her father’s will. When Blanca wakes up in a quaint motor lodge out of town with severe amnesia, she receives the help of seven quirky friends, the Holly Jollies, to help her figure out her life. While attempting to regain her memory, she finds herself the object of affection to both house painter Hunter, and Lucas Prince. But, who can she trust?","2018"
"A Godwink Christmas","TV Movie, Family, Romance",549313,"As Christmas approaches, Paula, a St. Louis antique appraiser, reluctantly accepts a marriage proposal from her boyfriend, Daniel, a career-focused attorney. When her Aunt Jane senses she has mixed emotions over the engagement, she invites Paula to her Nantucket home. Upon her arrival, Paula plans a trip to the nearby island of Martha's Vineyard where she meets a charming inn owner.","2018"
"Bugs Bunny's Looney Christmas Tales","Animation, TV Movie",26540,"A TV movie special that compiles of a few Looney Tunes episodes centered around an episode of a Christmas Carol, with the part of Scrooge played by Yosemite Sam.","1979"
"Merry Mystery Christmas","TV Movie, Drama, Romance",1191059,"When Leslie, a rising star reporter inadvertently botches her investigative piece about a powerful City Council member, her boss decides she needs to pivot to something more seasonal. Her next assignment is to uncover the identity of a local late-night bandit who has been stealing beautiful home Christmas displays across the city. She’s not the only one on the case though, Preston, local detective and Christmas enthusiast has made it his mission to identify the culprit and restore the town’s holiday spirit. As they spend more time together, they discover more than just clues pointing them to their culprit, they also discover that their undeniable chemistry might actually be true love.","2023"
"Dr. Seuss' How the Grinch Stole Christmas! and Horton Hears a Who!","Animation, Family",54245,"Animator Chuck Jones collaborated with Theodor Geisel (aka Dr. Seuss) to bring his classic children's book to life. Embittered, green-haired hermit the Grinch (voiced by Boris Karloff) lives in the mountains above the village of Whoville. The Whos love Christmas, and the Grinch hates the Whos, so he conspires to keep Christmas from coming. How the Grinch Stole Christmas is enjoyable on every level. This all-time classic now has Horton Hears a Who! on the same video for a great double bill.","1999"
"Enchanted Christmas","Romance, TV Movie",474978,"Weeks before Christmas, interior designer Laura is sent to her hometown of Santa Fe, New Mexico to remodel a landmark hotel. As Laura is kept busy with the renovations, her 8-year-old daughter Nicole is introduced to the art of salsa dancing at a local dance studio. Laura is surprised to find that the studio’s owner is Ricardo, her old high school sweetheart and former salsa dance partner. When Laura and Ricardo reconnect, sparks fly on and off the dance floor. The beautiful Christmas traditions of New Mexico become the backdrop for spirited dancing and unexpected romance.","2017"
"Saving Christmas","Comedy, Fantasy",295884,"Kirk is enjoying the annual Christmas party extravaganza thrown by his sister until he realizes he needs to help out Christian, his brother-in-law who has a bad case of the bah-humbugs.","2014"
"Nostalgic Christmas","Romance, TV Movie",630894,"When Anne helps her father close the family's toy store, what she finds will help inspire an entire town that is need of some Christmas cheer.","2019"
"Sister Swap: Christmas in the City","TV Movie, Comedy, Romance",866669,"Jennifer and Meg Swift are two sisters who are very close despite living far apart. Jennifer is in Salt Lake City, running a successful restaurant she started with her late husband and raising her teenaged son Simon, Meg stayed in their hometown of Hazelwood, helping their parents run the local bakery.","2021"
"A Christmas Movie Christmas","Romance, TV Movie, Fantasy",642949,"Eve is a Christmas movie fanatic and dreams of having a movie-perfect Christmas with a movie-perfect boyfriend. On Christmas Eve, when Eve and her cynical sister Lacy make wishes to Santa, they wake up in Christmas Town and find themselves trapped inside a Christmas movie where they are the stars. But when things start to go wrong, and Eve's knowledge of all things Christmas movie fails to fix things, Eve and Lacy try to find a way out of the picture-perfect Christmas and back to reality.","2019"
"Christmas at Holly Lodge","Drama, TV Movie, Romance",480622,"Sophie Bennett begins a new holiday tradition of spending every holiday at the Evergreen Inn and Ski Lodge, which she inherited from her parents. Evergreen Inn is a special place filled with people who cannot make it home for the holidays or who have had such wonderful experiences that it has become their home-away-from-holiday-home. This Christmas, Sophie will meet an unforgettable family, and her own life will be forever changed.","2017"
"A Prince and Pauper Christmas","TV Movie, Comedy, Romance, Crime",1031460,"When her down-on-his luck confidential informant in a criminal investigation suddenly goes missing, a desperate young federal agent recruits his doppelgänger to play his role.","2022"
"Let's Go Luna!: Luna's Christmas Around the World","Animation, Family, TV Movie, Comedy",568315,"The kids believe Santa will never find them when the Circo gets stuck at the South Pole on Christmas Eve. Luna helps the kids work to save Christmas, learning about holiday traditions from around the world along the way.","2018"
"Christmas Bedtime Stories","TV Movie, Comedy, Drama, Romance",1027431,"When Danielle’s husband goes missing in action during his deployment, she is left to raise her daughter on her own. Three years later, as she acclimates to life without him, she begins to tell her daughter bedtime stories of her father.","2022"
"The Heist Before Christmas","Family, Adventure",656995,"After a bank robber dressed as Santa Claus holds up a bank, a child disillusioned with Christmas encounters a man in the woods who, also dressed as Santa, claims to have fallen out of his sleigh. The pair strike up a friendship and go on an adventure.","2023"
"A Magical Christmas Village","TV Movie, Comedy, Romance",1026605,"When Summer’s mother Vivian moves in with her and her young daughter Chloe, her orderly existence is upended. Upon arrival, Vivian sets up an heirloom, miniature Christmas village resembling their town, and tells Chloe it grants Christmas wishes. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates. With a little help from the magic of the Christmas village, the family will be brought closer together and just maybe, Summer will learn to open her heart to love again.","2022"
"A Christmas Story Live!","TV Movie, Music",485517,"A live broadcast of the Broadway hit ""A Christmas Story: The Musical"" in which Ralphie wishes for nothing more than a Red Rider BB Gun for Christmas.","2017"
"Christmas by Design","TV Movie, Comedy, Romance, Drama",1132358,"During a Christmas challenge to create a holiday-theme clothing line, a designer looks closer at most important in life.","2023"
"Christmas Cupid's Arrow","Romance, TV Movie",559708,"Holly, a professor at a small college, has had a long history of finding the wrong guy. She’s accomplished quite a bit in her life, but after her younger sister announces she is pregnant, Holly decides she is going to make an effort to meet Mr. Right. Meanwhile, David, another professor, is a single father, very smart and kind, but not the type that Holly takes notice of when the two are assigned to plan the Christmas Formal. At the insistence of her best friend, Holly signs up for the dating website “Cupid’s Arrow,” where she meets Josh, an attorney just hired by the school. He’s everything she wants on the surface, but has little to say beyond his work and good looks. Josh and David were roommates in college, so Josh recruits David to write poetic messages in an attempt to win Holly over.","2018"
"Christmas at the Golden Dragon","TV Movie, Comedy, Drama, Romance",1028186,"When Romy and Rick’s parents surprise them with the news that they will be closing the Chinese restaurant they have owned and operated for decades, the siblings each find themselves reevaluating their futures. Also impacted by the news are the landmark restaurant’s loyal patrons and staff, who have all come to depend on the restaurant over the holidays.","2022"
"A Merry Single Christmas","TV Movie, Comedy, Romance",957805,"Morgan escapes to a single's retreat to rekindle her Christmas spirit, but things get complicated when her Ex, Liam, shows up.","2022"
"A Merry Single Christmas","TV Movie, Comedy, Romance",957805,"Morgan escapes to a single's retreat to rekindle her Christmas spirit, but things get complicated when her Ex, Liam, shows up.","2022"
"The Christmas Listing","Romance, Drama",744944,"Julia Rogers is an uptight, hardworking realty owner who has lost her Christmas spirit. She will have to spend five days at a Christmas Inn with her business competitor, Chad Everest, in order to win over the badly needed listing of the Erickson Farmstead. While competing to win the listing, Julia and Chad discover that they have more in common than they thought.","2020"
"A Fiancé for Christmas","TV Movie, Comedy, Romance",881233,"Perpetually single Sawyer makes a fake wedding registry, hoping a shopping spree with a scan gun will be the ultimate retail therapy. But when the registry is discovered and the whole town throws her a surprise bridal shower, she's too embarrassed to tell the truth.","2021"
"It's Christmas, Carol!","TV Movie, Family, Fantasy",151071,"The story of driven, heartless, publishing executive, Carol Huffman, who on Christmas eve is visited by the ghost of her former boss, Eve. Eve tells Carol that she has lost sight of the things that are truly important in life and that she is there to show her the error of her ways. Eve explains that normally there would be three ghosts for the job but due to budget cut backs she is in charge of Carol's journey through her past, present and future.","2012"
"Abominable Christmas","Animation, Family, Comedy, Adventure",150776,"Despite repeated warnings about humans from their father, the Abominable Snowman, two Abominable Snowkids find themselves in a sleepy Colorado mountain town after being chased out of their hideaway by a scientist determined to capture them.","2012"
"Christmas Town","Fantasy, Drama, Action, Comedy, Thriller, Family, TV Movie",26381,"A week before Christmas Liza McCann visit her estranged father who strangely lives in a town decked out for the holidays and is full of Christmas spirit. Strange events immediately occur when they arrive challenging everything Liza had once believed in.","2008"
"Northern Lights of Christmas","Drama, Romance, TV Movie",550079,"Zoey Hathaway has been working towards her lifelong goal of being a pilot for years, but everything is thrown off-course when she unexpectedly inherits a reindeer farm, along with the dangerously handsome ranch hand Alec Wynn. Now buried in taking care of reindeer and all the Christmas responsibilities, Zoey thinks life has delivered her a strange and cumbersome blow, and she isn’t sure about Alec, who has his own ideas how best to run things. Alec, who has never had many people have faith in him, opens up when Zoey invests trust in him, and the two find themselves falling for each other. Could they both find happiness in the most unlikely of circumstances right before Christmas?","2018"
"Christmas Plus One","TV Movie, Romance, Family, Comedy",993030,"When sisters Cara and Amy make a pact to find their soulmates by next Christmas, they’re not expecting to be so successful! One year later, Amy’s winter wedding approaches and Cara finally finds her own perfect man, inviting him as her plus one. But after immediately losing his number, all hope is lost. Will she find him in time to make her Christmas wish come true? Or does love have other plans for Cara?","2022"
"Trans-Siberian Orchestra: The Ghosts of Christmas Eve","Fantasy, Music, TV Movie",35966,"Enchanting holiday tale of a young runaway who has broken into an old movie palace, looking for shelter on a snow-filled Christmas Eve. Closed for decades, the building is filled with countless discarded artifacts from the past. The girl is discovered by the old caretaker, who uses the ghosts and spirits that inhabit this long-abandoned world to turn her life around.","1999"
"Recess Christmas: Miracle On Third Street","Animation, Comedy, Family",77518,"Principal Prickly gets his car stuck in a snowbank and decides it has to be the Recess gang's fault, but the teachers look back and remember all the good times they've had with T.J. and the rest of the gang.","2001"
"A Christmas Cookie Catastrophe","TV Movie, Comedy, Drama, Romance",1028552,"Annie Cooper has big shoes to fill when she takes over as CEO of her late grandmother’s small-town cookie company and is doing her best to help their struggling business get back on track. That task gets more daunting when her grandmother’s secret recipe is stolen during the Christmas party. As Annie tries to crack the case and uncover the culprit she works with Sam, the owner of a local bakery, to recreate the recipe in the hope of saving the company and her job.  As Annie and Sam bake batch after batch in pursuit of the perfect one, they begin to learn that their lives go together like milk and cookies.","2022"
"Christmas in Mississippi","Romance, TV Movie",486865,"Photographer Holly Logan returns to her hometown of Gulfport, Mississippi for Christmas. The town is resurrecting their traditional holiday light show for the first time since a terrible hurricane struck five years earlier. Holly volunteers to pitch in, but soon has second thoughts when she discovers the festival is run by her high school sweetheart, Mike.","2017"
"Christmas Princess","Drama, TV Movie",492335,"Against the backdrop of Christmas in Southern California comes Christmas Princess, a heart-warming story inspired by true events about one brave high school girl who overcomes her difficult past to become one of the elite princesses in the world-renowned royal court of the Tournament of Rose Parade presented by Honda","2017"
"Check Inn to Christmas","TV Movie, Romance",630915,"Julia Crawley and Ryan Mason must unite their families during Crestridge's Centennial Christmas celebration in order to save their family inns from a chain resort.","2019"
"Christmas Solo","Romance, TV Movie",489755,"Two single parents stumble into the possibility of love for Christmas, only to discover that their daughters are embroiled in a nasty rivalry at school. When the rivalry gets out of control, can hope and healing lead everyone to a peaceful and merry Christmas?","2017"
"A Gingerbread Christmas","TV Movie, Family, Drama",1015190,"Follows Hazel, who goes to spend the holidays in her home town, where a romance begins to bloom with a local contractor who has been helping her father with their family bakery, but some misunderstandings threaten to tear them apart.","2022"
"Homemade Christmas","TV Movie, Romance",744940,"Every year, Megan, an ambitious young woman uses the weeks leading up to Christmas to become the ultimate holiday freelance assistant for hire, helping with any Christmas related tasks for extra income. But when the opportunity arrives to save a Christmas party and dazzle her crush, she must choose between the man of her aspirations and Mr. Right.","2020"
"A Scooby-Doo! Christmas","Animation, Family, Mystery, Comedy, Adventure",511301,"On the way to Daphne's relatives' condominium, the Mystery Inc. gang detours through the town of Winter Hollow, where the vengeful Headless Snowman has destroyed the town's Christmas spirit.","2002"
"Christmas in Conway","Drama, Romance, TV Movie",240820,"Duncan Mayor decides the perfect Christmas present for his terminally ill wife, Suzy, is a ride on a real Ferris wheel, set up in their very own back yard. As a young man, it was the perfect place for a wedding proposal. Now, years later, in order to relive the experience with his wife, Duncan will go to any length to make their fantasy become a reality.","2013"
